REPYR,REPORT_NUM,FAC NAME,CHEM NAME,TRIFACID,FAC STREET1,FAC CITY,FAC ZIP,FAC COUNTY,CAS_NO,TECH NAME,TECH PHONE,TECH E-ADDRESS,CONT NAME,CONT PHONE,CONT_E-ADDRESS,NAICS,NAICS1,NAICS2,NAICS3,NAICS4,NAICS5,NAICS6,FORM A,FORM R,REVISION,REVISIONCODE1,REVISIONCODE2,WITHDRAWAL,WITHDRAWALCODE1,WITHDRAWALCODE2,MAX ONSITE,FUGITIVE,STACK,WATER1,RIVER1,WATER2,RIVER2,RCRA REL,LANDFILL,LANDFARM,LANDIMP,LANDIMP OTHR,LANDOTHR,METAL,METAL TO POTW,POTW,POTW2,OFF TRE,OFF STE REL1,OFF STE TRE1,OFF STATE1,OFF STE REL2,OFF STE TRE2,OFF STATE2,OFF STE REL3,OFF STE TRE3,OFF STATE3,OFF STE REL4,OFF STE TRE4,OFF STATE4,OFF STE REL5,OFF STE TRE5,OFF STATE5,OFF STE REL6,OFF STE TRE6,OFF STATE6,OFF STE REL7,OFF STE TRE7,OFF STATE7,OFF STE REL8,OFF STE TRE8,OFF STATE8,OFF STE REL9,OFF STE TRE9,OFF STATE9,ON ER B,OFF ER B,ON RCY B,OFF RCY B,ON TRE B,NON POTW OFF TRE,ACCID,P INDEX,CALC REL B,CALC OFF DIS,CALC OFF ER B,CALC OFF RCY B,RELEASE B,REL 81 A,REL 81 B,REL 81 C,REL 81 D,TOTAL TO AIR,TOTAL TO LAND,TOTAL TO WATER,FAC MAILSTREET1,FAC MAILCITY,FAC MAILSTREET2,FAC MAILSTATE,FAC MAILZIP,FAC MAILCOUNTY,CERT NAME,CERT TITLE,RIVERPERCENT1,RIVERPERCENT2,FUGITIVEBASIS,STACKBASIS,BASISCODE1,BASISCODE2,RCRA RELBASIS,LANDFILLBASIS,LANDFARMBASIS,LANDIMPBASIS,LANDIMP OTHRBASIS,LANDOTHRBASIS,POTWBASIS1,POTWFAC1,POTWCITY1,POTWSTATE1,POTWBASIS2,POTWFAC2,POTWCITY2,POTWSTATE2,OFF CITY1,OFF NAME1,OFF BASIS1,OFF CITY2,OFF NAME2,OFF BASIS2,OFF CITY3,OFF NAME3,OFF BASIS3,OFF CITY4,OFF NAME4,OFF BASIS4,OFF CITY5,OFF NAME5,OFF BASIS5,OFF CITY6,OFF NAME6,OFF BASIS6,OFF CITY7,OFF NAME7,OFF BASIS7,OFF CITY8,OFF NAME8,OFF BASIS8,OFF CITY9,OFF NAME9,OFF BASIS9,Geocoded Facility Location
2020,5312,AIR LIQUIDE ADVANCED SEPARATIONS,"N,N-Dimethylformamide",19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,68-12-2,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,3,0,21.2,0,,0,,0,0,0,0,0,0,0,,18000,0,16560,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.78,1461.2,1440,0,0,0,0,21.2,0,1440,21.2,0,0,,,,,,New Castle,Sarang Gadre,General Manager,0,0,,E2,,,,,,,,,E1,"WILMINGTON WASTEWATER TREATMENT PLANT- 12TH ST & HAY RD, WIL",WILMINGTON,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2020,5314,AIR LIQUIDE ADVANCED SEPARATIONS,n-Hexane,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,110-54-3,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,4,42,23.5,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,2562472,0,0,0,0,1.78,65.5,0,0,0,0,0,65.5,0,0,65.5,0,0,,,,,,New Castle,Sarang Gadre,General Manager,0,0,E2,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2020,5313,AIR LIQUIDE ADVANCED SEPARATIONS,N-Methyl-2-pyrrolidone,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,872-50-4,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,4,0,1179,0,,0,,0,0,0,0,0,0,0,,77244,0,71064.48,11250,M92,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,11250,0,0,0,0,0,1.78,7358.52,6179.52,0,0,0,0,1179,0,6179.52,1179,0,0,,MILLSBORO,,DE,19966,New Castle,Sarang Gadre,General Manager,0,0,,E2,,,,,,,,,E1,"WILMINGTON WASTEWATER TREATMENT PLANT- 12TH ST & HAY RD, WIL",WILMINGTON,DE,,,,,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,O,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2020,5439,ALLEN HARIM FARMS SEAFORD MILL,Copper,1997WLLNSH2799A,20799 ALLEN ROAD,SEAFORD,19973,Sussex,7440-50-8,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20799 ALLEN ROAD
SEAFORD, DE 19973
(38.691056, -75.62018)"
2020,5440,ALLEN HARIM FARMS SEAFORD MILL,Copper compounds,1997WLLNSH2799A,20799 ALLEN ROAD,SEAFORD,19973,Sussex,N100,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20799 ALLEN ROAD
SEAFORD, DE 19973
(38.691056, -75.62018)"
2020,5441,ALLEN HARIM FARMS SEAFORD MILL,Manganese,1997WLLNSH2799A,20799 ALLEN ROAD,SEAFORD,19973,Sussex,7439-96-5,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20799 ALLEN ROAD
SEAFORD, DE 19973
(38.691056, -75.62018)"
2013,3885,DELAWARE CITY REFINERY,Carbonyl sulfide,19706TXCDL2000W,4550 WRANGLE HILL RD,DELAWARE CITY,19706,New Castle,463-58-1,BONNIE MCMICHAEL,3028346074,BONNIE.MCMICHAEL@PBFENERGY.COM,LISA LINDSEY,3028346033,LISA.LINDSEY@PBFENERGY.COM,324,324110,,,,,,0,1,0,,,0,,,6,0,668,0,,0,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,69429,0,0,0,13597669,0,0,0.939999998,668,0,0,0,0,0,668,0,0,,,,,,,,,,John Deemer,HSE Manager,0,0,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5442,ALLEN HARIM FARMS SEAFORD MILL,Manganese compounds,1997WLLNSH2799A,20799 ALLEN ROAD,SEAFORD,19973,Sussex,N450,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20799 ALLEN ROAD
SEAFORD, DE 19973
(38.691056, -75.62018)"
2020,5443,ALLEN HARIM FARMS SEAFORD MILL,Zinc compounds,1997WLLNSH2799A,20799 ALLEN ROAD,SEAFORD,19973,Sussex,N982,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20799 ALLEN ROAD
SEAFORD, DE 19973
(38.691056, -75.62018)"
2020,5444,ALLEN HARIM FOODS HARBESON,Nitrate compounds,19951LLNFMPOBOX,18752 HARBESON ROAD,HARBESON,19951,Sussex,N511,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311615,,,,,,0,1,0,,,0,,,2,0,0,56504.53,BEAVERDAM CREEK,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0.78,56504.53,0,0,0,0,0,56504.53,0,0,0,0,56504.53,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18752 HARBESON ROAD
HARBESON, DE 19951
(38.720648, -75.284737)"
2020,5445,ALLEN HARIM FOODS HARBESON,Peracetic acid,19951LLNFMPOBOX,18752 HARBESON ROAD,HARBESON,19951,Sussex,79-21-0,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,MICHAEL SAUSE,3026841640,MICHAEL.SAUSE@ALLENHARIMLLC.COM,311,311615,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 1380,MILLSBORO,,DE,19966,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18752 HARBESON ROAD
HARBESON, DE 19951
(38.720648, -75.284737)"
2020,5455,ALLEN HARIM FOODS MILLSBORO,Peracetic acid,19966VLSCFROUTE,29984 PINNACLE WAY,MILLSBORO,19966,Sussex,79-21-0,Michael Sause,3026841640,michael.sause@allenharimllc.com,Michael Sause,3026841640,michael.sause@allenharimllc.com,311,311421,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P O BOX 625,,,,,Sussex,Michael Sause,Environmental Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29984 PINNACLE WAY
MILLSBORO, DE 19966
(38.576258, -75.270041)"
2020,5458,AMAZON.COM SERVICES,Lead compounds,1970WMZNCM56MER,560 MERRIMAC AVE,MIDDLETOWN,19709,New Castle,N420,Vimal Vijaykumar,4842521748,vvvijayk@amazon.com,Vimal Vijaykumar,4842521748,vvvijayk@amazon.com,323,323117,,,,,,0,1,0,,,0,,,2,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,3.4,M26,DE,0.7,M26,MD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,4.1,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,New Castle,Vimal Vijaykumar,Business Environmental Leader,0,0,E2,E2,,,,,,,,,,,,,,,,,WILMINGTON,"RMR DELAWARE, LLC",C,Baltimore,WM BALTIMORE MRF 02976,C,,,,,,,,,,,,,,,,,,,,,,"560 MERRIMAC AVE
MIDDLETOWN, DE 19709
(39.437743, -75.735415)"
2020,5459,AMAZON.COM SERVICES,Mercury compounds,1970WMZNCM56MER,560 MERRIMAC AVE,MIDDLETOWN,19709,New Castle,N458,Vimal Vijaykumar,4842521748,vvvijayk@amazon.com,Vimal Vijaykumar,4842521748,vvvijayk@amazon.com,323,323117,,,,,,0,1,0,,,0,,,1,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0.1,M26,DE,0,M26,MD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0.1,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,,DELMAR,,DE,19940,New Castle,Vimal Vijaykumar,Business Environmental Leader,0,0,E2,E2,,,,,,,,,,,,,,,,,WILMINGTON,"RMR DELAWARE, LLC",C,Baltimore,WM BALTIMORE MRF 02976,C,,,,,,,,,,,,,,,,,,,,,,"560 MERRIMAC AVE
MIDDLETOWN, DE 19709
(39.437743, -75.735415)"
2020,5302,AMICK FARMS,Copper compounds,19940LLNSMRTE13,10281 AMICK DR,DELMAR,19940,Sussex,N100,RICHARD MARTINSON,3028469511,RICHARD.MARTINSON@AMICKFARMS.COM,RICHARD MARTINSON,3028469511,RICHARD.MARTINSON@AMICKFARMS.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 269,DELMAR,,DE,19940,Sussex,richard martinson,Mill Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5303,AMICK FARMS,Manganese compounds,19940LLNSMRTE13,10281 AMICK DR,DELMAR,19940,Sussex,N450,RICHARD MARTINSON,3028469511,RICHARD.MARTINSON@AMICKFARMS.COM,RICHARD MARTINSON,3028469511,RICHARD.MARTINSON@AMICKFARMS.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P.O. BOX 269,DELMAR,,DE,19940,Sussex,richard martinson,Mill Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
